Anno,Regione,Fonte,Copertura(GWh)
2023,Liguria,Fotovoltaico,164.9
2023,Liguria,Eolico,295.6
2023,Liguria,Saldo import/export,1388.4
2023,Liguria,Termoelettrico tradizionale,4280.8
2023,Lombardia,Eolico,0
2023,Lombardia,Geotermoelettrico,0
2023,Lombardia,Idrico tradizionale,337.211417
2023,Lombardia,Fotovoltaico,3469.8
2023,Lombardia,Bioenergie,3508.3
2023,Lombardia,Idrico rinnovabile,8719.788583
2023,Lombardia,Saldo import/export,18324.1
2023,Lombardia,Termoelettrico tradizionale,30910.2
2023,Valle d'Aosta,Bioenergie,0.64
2023,Valle d'Aosta,Fotovoltaico,3.42
2023,Valle d'Aosta,Eolico,4.3
2023,Valle d'Aosta,Saldo import/export,767.6
2023,Valle d'Aosta,Idrico rinnovabile,3081.6538
2023,Veneto,Geotermoelettrico,0
2023,Veneto,Idrico tradizionale,1.084166
2023,Veneto,Eolico,23
2023,Veneto,Saldo import/export,1129
2023,Veneto,Bioenergie,1566.7
2023,Veneto,Fotovoltaico,2849.9
2023,Veneto,Idrico rinnovabile,3556.615834
2023,Veneto,Termoelettrico tradizionale,21013.2
2023,Marche,Geotermoelettrico,0
2023,Marche,Saldo import/export,0
2023,Marche,Idrico tradizionale,0.046164
2023,Marche,Eolico,36.7
2023,Marche,Bioenergie,119.6
2023,Marche,Idrico rinnovabile,517.853836
2023,Marche,Fotovoltaico,1461.3
2023,Marche,Termoelettrico tradizionale,4945.8
2023,Molise,Idrico tradizionale,-0.04502
2023,Molise,Geotermoelettrico,0
2023,Molise,Saldo import/export,0
2023,Molise,Termoelettrico tradizionale,98.4
2023,Molise,Bioenergie,105.4
2023,Molise,Idrico rinnovabile,217.84502
2023,Molise,Fotovoltaico,228.9
2023,Molise,Eolico,760
2023,Piemonte,Termoelettrico tradizionale,-4245.3
2023,Piemonte,Geotermoelettrico,0
2023,Piemonte,Eolico,25
2023,Piemonte,Idrico tradizionale,360.272943
2023,Piemonte,Bioenergie,1434.6
2023,Piemonte,Fotovoltaico,2356.4
2023,Piemonte,Idrico rinnovabile,5243.027057
2023,Piemonte,Saldo import/export,18709.9
2023,Puglia,Geotermoelettrico,0
2023,Puglia,Idrico tradizionale,0.042401
2023,Puglia,Idrico rinnovabile,9.757599
2023,Puglia,Saldo import/export,1345
2023,Puglia,Bioenergie,1527
2023,Puglia,Fotovoltaico,4111.6
2023,Puglia,Termoelettrico tradizionale,4423
2023,Puglia,Eolico,6392.5
2023,Sardegna,Saldo import/export,-396.3
2023,Sardegna,Geotermoelettrico,0
2023,Sardegna,Idrico tradizionale,178.432407
2023,Sardegna,Idrico rinnovabile,299.567593
2023,Sardegna,Bioenergie,492.6
2023,Sardegna,Fotovoltaico,1489.3
2023,Sardegna,Eolico,1912.3
2023,Sardegna,Termoelettrico tradizionale,4168.8
2023,Sicilia,Saldo import/export,-622.1
2023,Sicilia,Geotermoelettrico,0
2023,Sicilia,Idrico rinnovabile,120.476754
2023,Sicilia,Bioenergie,144.9
2023,Sicilia,Idrico tradizionale,243.023246
2023,Sicilia,Fotovoltaico,2340.1
2023,Sicilia,Eolico,3348.4
